HISTORY	O
OF	O
PRESENT	O
ILLNESS	O
41-year-old	Age
black	O
gentleman	Gender
status	O
post	O
Nissen	Procedure
fundoplication	Procedure
five	Time
years	Time
ago	Time

He	O
did	O
great	O
during	O
this	O
time	O
with	O
no	DOS
reflux	DOS
or	DOS
difficulty	DOS
swallowing	DOS
at	DOS
all	DOS

He	O
had	O
previously	O
undergone	O
endoscopic	Procedure
approaches	Procedure
to	O
relieve	O
his	O
heartburn	DOS
,	O
which	O
had	O
failed	Other Measurement / Result

However,	O
for	O
the	Duration
last	Duration
two	Duration
months	Duration
,	O
he	O
has	O
had	O
difficulty	DOS
with	O
some	O
reflux	DOS
as	O
well	O
as	O
swallowing	DOS
water	DOS

Endoscopy	Procedure
revealed	O
a	O
small	O
hiatal	Condition
hernia	Condition
and	O
gastritis	Condition

A	O
barium	Test / Screening
swallow	Test / Screening
showed	O
a	O
small	O
herniation	DOS
of	O
the	O
GE	BODY
junction	BODY
possibly	O
above	O
the	O
diaphragm	BODY

He	O
complains	O
of	O
these	O
problems	DOS
with	DOS
swallowing	DOS
and	O
also	O
notes	O
more	Frequency
frequent	Frequency
burping	DOS
.	O

HISTORY	O
OF	O
PRESENT	O
ILLNESS	O
Pt	O
is	O
a	O
80m	Age
who	O
was	O
transfered	Patient Relocation
from	O
OSH	GEO
after	O
he	O
was	O
found	O
to	O
have	O
a	O
large	O
acute	O
right	BODY
sided	BODY
SDH	Condition
with	O
10mm	Other Measurement / Result
of	Other Measurement / Result
midline	Other Measurement / Result
shift	Other Measurement / Result

Pt	O
was	O
a	O
MVA	Accident / Event
on	O
Tuesday	Time
and	O
was	O
seen	O
at	O
Hospital	GEO
2725	GEO
hospital	GEO
with	O
a	O
negative	Other Measurement / Result
workup	Other Measurement / Result

Tonight	Time
pt	O
was	O
found	Accident / Event
on	Accident / Event
the	Accident / Event
floor	Accident / Event
next	O
to	O
his	O
chair	O
at	O
home	GEO
and	O
EMS	POI
was	O
called.Pt	O
had	O
been	O
complaining	O
of	O
some	O
dizziness	DOS
after	O
his	O
MVA	Accident / Event
and	O
did	O
have	O
one	Quantity
episode	Quantity
of	O
vomiting	DOS

Upon	O
EMS	POI
arrival	O
pt	O
was	O
reported	O
to	O
be	O
awake	DOS
and	DOS
oriented	DOS
to	DOS
self	DOS
only	DOS

He	O
appeared	O
drowsy	DOS
but	O
answered	DOS
simple	DOS
questions	DOS
appropriately	DOS

Pt	O
was	O
taken	Patient Relocation
to	O
OSH	GEO
where	O
CT	Test / Screening
head	Test / Screening
ultimately	O
found	O
a	O
subdural	BODY
hematoma	Condition

Pt	O
was	O
then	O
intubated	Procedure
for	O
airway	BODY
protection	O
and	O
to	O
Hospital1	GEO
18	GEO
for	O
further	O
care.	O

HISTORY	O
OF	O
PRESENT	O
ILLNESS	O
Mr	O
Known	O
lastname	O
2727	O
was	O
admitted	Patient Relocation
to	O
our	O
service	GEO
from	O
Date	O
range	O
1	O
2728	O
with	O
a	O
right	BODY
sided	BODY
subdural	BODY
hematoma	Condition

He	O
was	O
treated	O
conservatively	O
and	O
monitored	Test / Screening
his	Test / Screening
mental	Test / Screening
status	Test / Screening
and	O
word	DOS
finding	DOS
difficulty	DOS
improved	DOS
by	O
discharge	Patient Relocation
five	Time
days	Time
ago	Time

He	O
has	O
been	O
at	O
a	O
rehab	POI
facility	POI
since	O
discharge	Patient Relocation
when	O
the	O
staff	POI
and	O
his	O
family	O
noticed	O
that	O
he	O
began	O
to	O
have	O
word	DOS
finding	DOS
difficulty	DOS
,	O
confusion	DOS
and	O
worsening	O
headache	DOS

He	O
had	O
an	O
outside	Test / Screening
CT	Test / Screening
which	O
showed	O
increase	DOS
size	DOS
of	O
subdural	BODY
so	O
he	O
was	O
transferred	Patient Relocation
here	O
for	O
further	O
care.	O

HISTORY	O
OF	O
PRESENT	O
ILLNESS	O
The	O
patient	O
is	O
an	O
85-year-old	Age
woman	Gender
with	O
a	O
history	O
of	O
congestive	Condition
heart	Condition
failure	Condition
,	O
peripheral	Condition
vascular	Condition
disease	Condition
,	O
Type	Condition
2	Condition
diabetes	Condition
mellitus	Condition
,	O
and	O
Parkinson's	Condition
disease,	Condition
who	O
was	O
admitted	Patient Relocation
after	O
being	O
found	Accident / Event
unresponsive	Accident / Event
at	O
home	GEO

The	O
patient	O
was	O
in	O
her	O
usual	DOS
state	DOS
of	DOS
health	DOS
until	Duration
1	Duration
P.M	Duration

on	O
the	Time
day	Time
of	Time
admission	Time
,	O
when	O
she	O
was	O
found	Accident / Event
by	Accident / Event
her	Accident / Event
cousin	Accident / Event
,	O
who	O
lives	O
with	O
her	O

The	O
patient	O
was	O
unresponsive	DOS
,	O
apparently	O
no	O
longer	O
than	O
30	Duration
seconds	Duration

She	O
slumped	DOS
forward,	O
and	O
EMS	POI
was	O
called	O

There	O
were	O
no	DOS
preceding	DOS
palpitations,	DOS
shortness	DOS
of	DOS
breath,	DOS
chest	DOS
pain,	DOS
focal	DOS
weakness,	DOS
dysarthria,	DOS
bowel	DOS
or	DOS
bladder	DOS
incontinence,	DOS
or	DOS
seizure	DOS
activity	DOS
noted	DOS

EMS	POI
noted	O
the	O
patient	O
to	O
have	O
a	O
finger	Test / Screening
stick	Test / Screening
blood	Other Measurement / Result
glucose	Other Measurement / Result
of	Other Measurement / Result
240	Other Measurement / Result
,	Respiratory Rate
atrial	Condition
fibrillation	Condition
on	O
the	O
monitor,	O
with	O
a	O
rate	O
of	O
100	Heart Rate
,	O
blood	O
pressure	O
of	O
136/palp	Blood Pressure
,	O
respiration	O
rate	O
of	O
4	Respiratory Rate
,	O
and	O
initially	O
unresponsive	DOS

Her	O
pupils	BODY
were	O
equal	DOS
,	O
round	DOS
and	O
reactive	DOS
to	DOS
light	DOS

The	O
patient	O
was	O
intubated	Procedure
and,	O
during	O
intubation	Procedure
,	O
she	O
was	O
noted	O
to	O
have	O
increased	O
agitation	DOS

She	O
was	O
given	O
2	Dose
mg	Dose
of	O
Versed	Drug
,	O
successfully	O
intubated	Procedure
,	O
and	O
sent	Patient Relocation
to	O
Hospital1	GEO
346	GEO
,	O
where	O
she	O
was	O
immediately	O
brought	Patient Relocation
to	O
the	GEO
Medical	GEO
Intensive	GEO
Care	GEO
Unit	GEO

Upon	O
arrival	Patient Relocation
,	O
she	O
was	O
hemodynamically	DOS
stable.	DOS

HISTORY	O
OF	O
PRESENT	O
ILLNESS	O
This	O
is	O
a	O
52	Age
year	O
old	O
female	Gender
with	O
PMHx	O
of	O
hyperlipidemia	Condition
who	O
presents	Patient Relocation
to	O
the	GEO
CCU	GEO
tonight	Time
after	O
her	O
PCP	POI
sent	O
her	O
to	O
Hospital1	GEO
18	GEO
Emergency	GEO
department	GEO
for	O
an	O
enlarged	DOS
heart	BODY
on	O
CXR	Test / Screening

The	O
patient's	O
history	O
begins	O
about	O
5	Time
weeks	Time
ago	Time
when	O
she	O
experienced	O
left	BODY
anterior	BODY
chaest	DOS
pain	DOS
which	O
woke	O
her	O
around	O
0500	Time
that	Time
mornig	Time

Pain	DOS
is	O
worse	O
with	O
breathing	O
and	O
radiated	O
into	O
her	O
left	BODY
arm	BODY
and	O
left	BODY
side	BODY
of	BODY
the	BODY
neck	BODY

She	O
went	O
to	O
Hospital3	GEO
2737	GEO
which	O
records	O
were	O
obtained	O
and	O
had	O
an	O
MI	Condition
workup	O
including	O
2	Quantity
sets	Quantity
of	O
negative	Other Measurement / Result
